1,qunalpandit,604663625664491521,@ideacellular  why this nonsensical advertising showing to me??? Plz do something ASAP!!!! pic.twitter.com/4xjAe7OnNh
2,amit_AishGang,604623893249146880,@ideacellular  Guys why speed of FUP internet pack is extremely slow? facing problem since 4-5 days.. on last recharge it was working fine!
3,JeeeBaat,604391824032063488,@ideacellular  How to stop this pop up notification? #Help pic.twitter.com/g5lzyYvyR5
4,MukeshPathakji,604228308889305088,@ideacellular  Its a clear cut case of cheating\, #idea is pushing some &#39;services&#39; (which I don&#39;t want) and deducting the bal. @rsprasad
5,shaadinakarna,603927623685681155,@ideacellular  who says men need handcuff&#39;s? they are already been gifted through gender biased laws #Scrap498a pic.twitter.com/rA5xil6EjE
6,thulasivarman,603623072462020609,@ideacellular  worst signal coverage at Chennai DLF IT park\, ramapuram.. take some action guys.
7,taaranhaar,603269507897925632,@ideacellular  @jeeturaaj à¤–à¤¤à¤® à¤¨à¤¾ à¤¹à¥‹à¤¤à¥€ à¤à¤¸à¥€ à¤¹à¥ˆ à¤¯à¥‡ à¤¨à¥à¤¯à¤¾à¤¯à¤¾à¤²à¤¯ à¤•à¥€ à¤ªà¤Ÿà¤°à¥€\, à¤¯à¤¹à¤¾à¤ à¤ªà¥‡ à¤à¥‚à¤ à¥‡ à¤†à¤°à¥‹à¤ªà¥‹à¤‚ à¤•à¥€ à¤–à¥à¤²à¤¤à¥€ à¤œà¤¾à¤ à¤—à¤ à¤°à¥€ #Scrap498a pic.twitter.com/Sg0c
8,anmbit,602742019274870784,@ideacellular  Shame on you Idea this is really sick minded thinking dont forget his team has qualified all the 8 season of IPL
9,additiya02,602733972028723200,@ideacellular  shame on u..&#10;Waise wat cn u xpct frm IIN ppl...&#10;U dnt evn thnk b4 insultg d most succesful Indian captain evr fr ds IPL
10,ravirat222,602710045332086785,@ideacellular   Gujarat ahmedabad postpaid 3G be slow chalta hay
11,KushalGajendra1,602654006389841920,@ideacellular  pahle apne network ko thik karo call drop hota hai. Worst service in cg. Very slow 2G
12,aniketakj,602046545979047936,@ideacellular  what&#39;s up wid d flash msg I receive whnevr I make any call.&#10;Y #cheat 2 deduct 1-2 Paise extra per call! pic.twitter.com/iMObL8rb14
